date,ticker,breach_day,worst_rank_after,post_missing_rank,bucket,reentry_50,days_to_reentry_50,reentry_25,days_to_reentry_25,reentry_10,days_to_reentry_10,post_breach_ret,post_reentry50_ret
2025-07-09,LVS,5,395.0,False,D_gt250,True,12.0,False,,False,,0.07328990228013033,0.008802143130501427
2025-07-09,NKE,3,438.0,False,D_gt250,True,10.0,False,,False,,0.04470588235294115,-0.04745078243311451
2025-07-09,RCL,7,467.0,False,D_gt250,False,,False,,False,,-0.10305626963724657,
2025-07-09,WYNN,6,411.0,False,D_gt250,False,,False,,False,,-0.020376461988304118,
2025-07-10,LUV,10,495.0,False,D_gt250,False,,False,,False,,-0.11124473842453397,
2025-07-10,NCLH,10,233.0,False,C_151-250,True,5.0,False,,False,,0.04127659574468079,-0.04264475743348983
2025-07-10,NKE,2,438.0,False,D_gt250,True,10.0,False,,False,,0.02906574394463668,-0.06171125694093893
2025-07-10,RCL,6,467.0,False,D_gt250,False,,False,,False,,-0.11516709511568135,
2025-07-10,UAL,10,446.0,False,D_gt250,False,,False,,False,,-0.019502953304357473,
2025-07-10,WYNN,5,411.0,False,D_gt250,False,,False,,False,,-0.020193713450292305,
2025-07-11,DAL,9,457.0,False,D_gt250,False,,False,,False,,-0.01955766770243106,
2025-07-11,LUV,9,495.0,False,D_gt250,False,,False,,False,,-0.10944076969332528,
2025-07-11,NCLH,9,233.0,False,C_151-250,True,5.0,False,,False,,0.02127659574468077,-0.06103286384976525
2025-07-11,NKE,1,438.0,False,D_gt250,True,10.0,False,,False,,0.026851211072664416,-0.06373043917213528
2025-07-11,WYNN,4,411.0,False,D_gt250,False,,False,,False,,-0.02768640350877194,
2025-07-14,DAL,8,457.0,False,D_gt250,False,,False,,False,,-0.02211661487845007,
2025-07-14,LUV,8,495.0,False,D_gt250,False,,False,,False,,-0.12627781118460613,
2025-07-14,LVS,2,395.0,False,D_gt250,True,12.0,False,,False,,0.07939739413680802,0.014542671259089257
2025-07-14,NCLH,8,233.0,False,C_151-250,True,5.0,False,,False,,0.009787234042553106,-0.07159624413145538
2025-07-14,TPR,11,266.0,False,D_gt250,False,,False,,False,,0.005214152700186103,
2025-07-14,WYNN,3,411.0,False,D_gt250,False,,False,,False,,-0.0074013157894736725,
2025-07-15,DAL,7,457.0,False,D_gt250,True,13.0,False,,False,,0.06817766404679215,0.0
2025-07-15,LUV,7,495.0,False,D_gt250,False,,False,,False,,-0.07636800962116652,
2025-07-15,LVS,1,395.0,False,D_gt250,True,12.0,False,,False,,0.09710912052117271,0.03119020283199392
2025-07-15,NCLH,7,233.0,False,C_151-250,True,5.0,False,,False,,0.03148936170212768,-0.05164319248826288
2025-07-15,ON,6,493.0,False,D_gt250,False,,False,,False,,-0.16104680422747863,
2025-07-15,TPR,10,266.0,False,D_gt250,False,,False,,False,,0.03221601489757919,
2025-07-15,WYNN,2,411.0,False,D_gt250,False,,False,,False,,0.02786915204678353,
2025-07-16,AMD,15,299.0,False,D_gt250,True,1.0,False,,False,,0.13057871505640017,0.0697215777262179
2025-07-16,DAL,6,457.0,False,D_gt250,True,13.0,False,,False,,0.08609029427892523,0.01676933607118425
2025-07-16,TPR,9,266.0,False,D_gt250,False,,False,,False,,0.05707635009310974,
2025-07-17,COHR,5,493.0,False,D_gt250,True,2.0,True,9.0,True,10.0,-0.07161669367909229,-0.12128475551294338
2025-07-17,GEV,3,447.0,False,D_gt250,True,1.0,True,1.0,True,1.0,0.1389460645913405,-0.005977457354975124
2025-07-17,TPR,8,487.0,False,D_gt250,False,,False,,False,,-0.10903165735567977,
2025-07-18,TPR,7,487.0,False,D_gt250,False,,False,,False,,-0.06201117318435767,
2025-07-21,AMD,12,321.0,False,D_gt250,True,1.0,False,,False,,0.07981853849926424,0.021693735498839795
2025-07-21,TPR,6,488.0,False,D_gt250,False,,False,,False,,-0.06973929236499077,
2025-07-21,UAL,3,446.0,False,D_gt250,True,13.0,True,15.0,True,16.0,0.140867045581188,0.03960597136183619
2025-07-22,DHI,1,174.0,False,C_151-250,True,3.0,True,4.0,True,7.0,0.1345751501653507,0.14986320109439144
2025-07-22,TPR,5,491.0,False,D_gt250,False,,False,,False,,-0.08826815642458108,
2025-07-23,GEV,10,488.0,False,D_gt250,False,,False,,False,,-0.0902264690391994,
2025-07-23,TEL,10,342.0,False,D_gt250,False,,False,,False,,0.007498125468632821,
2025-07-23,TPR,4,492.0,False,D_gt250,False,,False,,False,,-0.07942271880819363,
2025-07-24,BKR,9,445.0,False,D_gt250,False,,False,,False,,0.0006907667510938076,
2025-07-24,GEV,9,488.0,False,D_gt250,False,,False,,False,,-0.08810473252576922,
2025-07-25,DECK,4,460.0,False,D_gt250,False,,False,,False,,0.027597249693886994,
2025-07-25,FIX,10,412.0,False,D_gt250,False,,False,,False,,-0.003295940788712759,
2025-07-25,GEV,8,488.0,False,D_gt250,False,,False,,False,,-0.0864946204198328,
2025-07-25,TEL,8,342.0,False,D_gt250,False,,False,,False,,0.0247438140464884,
2025-07-28,BKR,7,445.0,False,D_gt250,False,,False,,False,,0.023025558369790478,
2025-07-28,FIX,9,412.0,False,D_gt250,False,,False,,False,,-0.0008384410778304874,
2025-07-28,GEV,7,489.0,False,D_gt250,False,,False,,False,,-0.09365736212474607,
2025-07-28,TEL,7,342.0,False,D_gt250,False,,False,,False,,0.02539365158710316,
2025-07-29,BKR,6,445.0,False,D_gt250,False,,False,,False,,0.02348606953718635,
2025-07-29,DECK,2,460.0,False,D_gt250,True,17.0,True,17.0,False,,0.07082980126212668,0.005839157745731294
2025-07-29,EME,8,440.0,False,D_gt250,False,,False,,False,,0.00100287923392961,
2025-07-29,FIX,8,412.0,False,D_gt250,False,,False,,False,,0.02259454145946571,
2025-07-29,TEL,6,342.0,False,D_gt250,False,,False,,False,,0.034291427143214204,
2025-07-30,BKR,5,445.0,False,D_gt250,False,,False,,False,,0.031084503799217122,
2025-07-30,FIX,7,412.0,False,D_gt250,False,,False,,False,,0.026121776338614566,
2025-07-30,GNRC,11,488.0,False,D_gt250,False,,False,,False,,-0.060210081921897696,
2025-07-30,TEL,5,342.0,False,D_gt250,False,,False,,False,,0.03759060234941258,
2025-07-31,EBAY,10,486.0,False,D_gt250,True,1.0,False,,False,,-0.05767668562144601,-0.0784508440913605
2025-07-31,FIX,6,412.0,False,D_gt250,False,,False,,False,,0.05529374349485372,
2025-07-31,GEV,4,489.0,False,D_gt250,False,,False,,False,,-0.04643743886840701,
2025-07-31,GLW,8,380.0,False,D_gt250,False,,False,,False,,0.048365019011406885,
2025-07-31,GNRC,10,488.0,False,D_gt250,False,,False,,False,,-0.06056189375282717,
2025-07-31,TEL,4,342.0,False,D_gt250,False,,False,,False,,0.03994001499625077,
2025-08-01,DHI,2,209.0,False,C_151-250,True,2.0,True,6.0,False,,0.09461990570302903,0.10130612775359027
2025-08-01,FIX,5,412.0,False,D_gt250,False,,False,,False,,0.016797733317913677,
2025-08-01,GEV,3,489.0,False,D_gt250,False,,False,,False,,-0.07761643217214642,
2025-08-01,GNRC,9,488.0,False,D_gt250,False,,False,,False,,-0.06895511886214001,
2025-08-04,DHI,1,209.0,False,C_151-250,True,2.0,True,6.0,False,,0.09965768907834383,0.10637468321528365
2025-08-04,FIX,4,412.0,False,D_gt250,False,,False,,False,,0.009902278246790797,
2025-08-04,GEV,2,489.0,False,D_gt250,False,,False,,False,,-0.1277104807764653,
2025-08-04,GNRC,8,488.0,False,D_gt250,False,,False,,False,,-0.09780368899834146,
2025-08-04,WSM,9,491.0,False,D_gt250,False,,False,,False,,-0.05545441125818029,
2025-08-05,FIX,3,412.0,False,D_gt250,False,,False,,False,,0.012909101422458713,
2025-08-05,GEV,1,489.0,False,D_gt250,False,,False,,False,,-0.13168309382288768,
2025-08-06,FIX,2,412.0,False,D_gt250,False,,False,,False,,0.04653347981959066,
2025-08-07,ANET,9,475.0,False,D_gt250,True,10.0,False,,False,,0.08655967140792575,0.011900545441666077
2025-08-07,FIX,1,412.0,False,D_gt250,False,,False,,False,,0.021033306349022673,
2025-08-07,GLW,3,380.0,False,D_gt250,True,15.0,True,15.0,False,,0.08273764258555127,0.026680126910873847
2025-08-08,ANET,8,475.0,False,D_gt250,True,10.0,False,,False,,0.06495778504601812,-0.00821704328115036
2025-08-08,APP,8,456.0,False,D_gt250,True,6.0,True,6.0,True,6.0,0.3265434793151947,0.13083204134366921
2025-08-08,EBAY,4,491.0,False,D_gt250,True,1.0,False,,False,,-0.05544272948822104,-0.07626613704071505
2025-08-08,GLW,2,380.0,False,D_gt250,True,15.0,True,15.0,False,,0.09733840304182517,0.04052494952408425
2025-08-11,ANET,7,475.0,False,D_gt250,True,10.0,False,,False,,0.07940975127405481,0.005241906920733896
2025-08-11,APP,7,456.0,False,D_gt250,True,6.0,True,6.0,True,6.0,0.3535331490372957,0.15383979328165376
2025-08-11,EBAY,3,491.0,False,D_gt250,True,1.0,False,,False,,-0.06123070674248576,-0.08192651439920551
2025-08-11,GLW,1,380.0,False,D_gt250,True,15.0,True,15.0,False,,0.10098859315589359,0.0439861551773868
2025-08-12,ANET,6,475.0,False,D_gt250,True,10.0,True,14.0,False,,0.14642123678405716,0.06764893390947102
2025-08-12,APP,6,456.0,False,D_gt250,True,6.0,True,6.0,True,6.0,0.375236432416703,0.17234108527131786
2025-08-12,EBAY,2,491.0,False,D_gt250,True,1.0,False,,False,,-0.07300974817221773,-0.09344587884806355
2025-08-13,CRH,6,360.0,False,D_gt250,False,,False,,False,,0.03386921965317913,
2025-08-13,LEN,10,264.0,False,D_gt250,True,6.0,False,,False,,0.05070126753168824,-0.012616295460952887
2025-08-14,CRH,5,360.0,False,D_gt250,False,,False,,False,,0.02411488439306364,
2025-08-14,EXPE,8,206.0,False,C_151-250,False,,False,,False,,0.04006927865936438,
2025-08-14,INTC,10,467.0,False,D_gt250,False,,False,,False,,-0.0340954673084638,
2025-08-14,LEN,9,264.0,False,D_gt250,True,6.0,False,,False,,0.029550738768469254,-0.03249224696926967
2025-08-14,MPWR,1,431.0,False,D_gt250,False,,False,,False,,0.009280433651554176,
2025-08-15,ANET,3,475.0,False,D_gt250,True,10.0,True,14.0,False,,0.10618392028599688,0.030176383084224767
2025-08-15,CRH,4,360.0,False,D_gt250,False,,False,,False,,0.02276011560693636,
2025-08-15,DAL,7,444.0,False,D_gt250,False,,False,,False,,-0.044644317252657384,
2025-08-15,UAL,7,240.0,False,C_151-250,True,7.0,False,,False,,0.004033419763756818,-0.019138755980861344
2025-08-15,UNH,10,286.0,False,D_gt250,True,6.0,True,6.0,True,9.0,0.12269661470939419,-8.622671878599775e-05
2025-08-18,ANET,2,475.0,False,D_gt250,True,10.0,True,14.0,False,,0.08131132577774403,0.007012821420981918
2025-08-18,DAL,6,455.0,False,D_gt250,False,,False,,False,,-0.053802125919869215,
2025-08-18,HUM,8,492.0,False,D_gt250,True,2.0,True,2.0,False,,-0.08583705394608743,-0.12171837708830546
2025-08-18,UAL,6,260.0,False,D_gt250,True,7.0,False,,False,,0.000672236627292877,-0.022422366075616873
2025-08-18,UNH,9,286.0,False,D_gt250,True,6.0,True,6.0,True,9.0,0.09652434892051498,-0.023396183030581885
2025-08-19,CRH,2,360.0,False,D_gt250,False,,False,,False,,0.0047868497109826436,
2025-08-19,DAL,5,455.0,False,D_gt250,False,,False,,False,,-0.03810302534750609,
2025-08-19,EXPE,5,206.0,False,C_151-250,True,13.0,False,,False,,0.054065440247156316,-0.01340694006309151
2025-08-19,UAL,5,290.0,False,D_gt250,True,7.0,False,,False,,0.013252664938058212,-0.010132282578102947
2025-08-19,UNH,8,286.0,False,D_gt250,True,6.0,True,6.0,True,9.0,0.10243005131184058,-0.01813635318464013
2025-08-20,CNC,6,398.0,False,D_gt250,True,7.0,True,8.0,True,9.0,0.1335447498238196,0.03573728267868659
2025-08-20,INTC,6,467.0,False,D_gt250,True,14.0,True,14.0,True,14.0,0.2262334536702768,0.0
2025-08-20,UNH,7,286.0,False,D_gt250,True,6.0,True,6.0,True,9.0,0.08051763642817944,-0.037652333869855226
2025-08-21,CI,2,434.0,False,D_gt250,True,1.0,False,,False,,-0.03457906636520802,-0.033164624400639275
2025-08-21,CNC,5,398.0,False,D_gt250,True,7.0,True,8.0,True,9.0,0.11945031712473586,0.022858982614294865
2025-08-21,HUM,5,496.0,False,D_gt250,True,2.0,True,2.0,False,,-0.1518345698076471,-0.1851254595884667
2025-08-21,UNH,6,286.0,False,D_gt250,True,6.0,True,6.0,True,9.0,0.08655242521057205,-0.032277535065532326
2025-08-22,CNC,4,398.0,False,D_gt250,True,7.0,True,8.0,True,9.0,0.15221987315010588,0.05280103026400518
2025-08-22,DAL,2,455.0,False,D_gt250,False,,False,,False,,-0.036958299264104655,
2025-08-22,RCL,10,490.0,False,D_gt250,False,,False,,False,,-0.0621546174443115,
2025-08-22,UAL,2,390.0,False,D_gt250,True,7.0,False,,False,,0.00048016901949488044,-0.022610000938174335
2025-08-22,UNH,5,286.0,False,D_gt250,True,6.0,True,6.0,True,9.0,0.10142963178106945,-0.0190273626120947
2025-08-25,CNC,3,398.0,False,D_gt250,True,7.0,True,8.0,True,9.0,0.15398167723749112,0.05441081777205414
2025-08-25,UAL,1,390.0,False,D_gt250,True,7.0,False,,False,,0.0,-0.023079088094568045
2025-08-25,UNH,4,286.0,False,D_gt250,True,6.0,True,6.0,True,9.0,0.12205118275405824,-0.0006610715106921683
2025-08-26,RCL,8,490.0,False,D_gt250,False,,False,,False,,-0.06844983763459245,
2025-08-26,SATS,16,492.0,False,D_gt250,True,1.0,False,,False,,0.02639707947205827,0.008693252380295169
2025-08-26,UNH,3,286.0,False,D_gt250,True,6.0,True,6.0,True,9.0,0.13534708103398208,0.011180731202575345
2025-08-27,RCL,7,490.0,False,D_gt250,False,,False,,False,,-0.07557112744260253,
2025-08-27,SATS,15,492.0,False,D_gt250,True,1.0,False,,False,,0.02695871946082562,0.009245204912377458
2025-08-27,UNH,2,286.0,False,D_gt250,True,6.0,True,6.0,True,9.0,0.1151773324297285,-0.006783168544493012
2025-08-28,RCL,6,490.0,False,D_gt250,False,,False,,False,,-0.068848629863841,
2025-08-28,UNH,1,363.0,False,D_gt250,True,6.0,True,6.0,True,9.0,0.11040113596024126,-0.01103702000459883
2025-08-28,WYNN,7,437.0,False,D_gt250,True,13.0,False,,False,,0.06156885340357232,0.0
2025-08-29,APA,5,403.0,False,D_gt250,True,2.0,True,11.0,False,,0.09344115004492348,0.04508372692142548
2025-08-29,RCL,5,490.0,False,D_gt250,False,,False,,False,,-0.06933287757078554,
2025-08-29,WYNN,6,437.0,False,D_gt250,True,13.0,False,,False,,0.09004856366779168,0.02682794448321313
2025-09-02,APA,4,403.0,False,D_gt250,True,2.0,True,11.0,False,,0.09074573225516613,0.04250751395448704
2025-09-02,LITE,16,483.0,False,D_gt250,False,,False,,False,,0.06520458265139117,
2025-09-02,MPC,7,206.0,False,C_151-250,True,9.0,True,10.0,False,,0.057210246283802446,-0.001864319005696502
2025-09-02,SATS,12,492.0,False,D_gt250,True,1.0,False,,False,,0.07217073855658529,0.053677383744997975
2025-09-02,VLO,7,109.0,False,B_101-150,True,9.0,True,9.0,True,11.0,0.08039850244304825,-0.003336650471228886
2025-09-02,WYNN,5,437.0,False,D_gt250,True,13.0,False,,False,,0.05580706230965515,-0.005427618826083447
2025-09-03,APA,3,403.0,False,D_gt250,True,2.0,True,11.0,False,,0.12578616352201255,0.07599828252468876
2025-09-03,SATS,11,492.0,False,D_gt250,True,1.0,False,,False,,0.11625947767481049,0.09700565751345391
2025-09-03,VLO,6,186.0,False,C_151-250,True,9.0,True,9.0,True,11.0,0.0639634494574528,-0.018497921910671566
2025-09-04,APA,2,403.0,False,D_gt250,True,2.0,True,11.0,False,,0.07277628032344996,0.025332760841562996
2025-09-04,CIEN,15,68.0,False,A_51-100,True,1.0,True,5.0,False,,0.1129255668149014,0.07560064820686252
2025-09-04,SATS,10,492.0,False,D_gt250,True,1.0,True,10.0,False,,0.10923897781522052,0.09010625086242574
2025-09-05,AVGO,10,490.0,False,D_gt250,False,,False,,False,,-0.019046790746216735,
2025-09-05,CIEN,14,68.0,False,A_51-100,True,1.0,True,5.0,False,,0.10410439600495747,0.06707531881913598
2025-09-05,LITE,13,483.0,False,D_gt250,False,,False,,False,,0.07240589198036007,
2025-09-05,SATS,9,492.0,False,D_gt250,True,1.0,True,10.0,False,,0.08284189834316202,0.06416448185456058
2025-09-08,AVGO,9,490.0,False,D_gt250,False,,False,,False,,-0.027396068881544555,
2025-09-08,LITE,12,483.0,False,D_gt250,False,,False,,False,,0.051391162029459814,
2025-09-08,STX,20,82.0,False,A_51-100,False,,False,,False,,0.0,
2025-09-09,APP,18,486.0,False,D_gt250,False,,False,,False,,-0.07456500087878604,
2025-09-09,AVGO,8,490.0,False,D_gt250,False,,False,,False,,-0.02472893836609258,
2025-09-09,GOOG,10,416.0,False,D_gt250,False,,False,,False,,-0.020646746453198084,
2025-09-09,GOOGL,10,422.0,False,D_gt250,False,,False,,False,,-0.023444329651116647,
2025-09-09,LITE,11,483.0,False,D_gt250,False,,False,,False,,0.028805237315875587,
2025-09-09,MU,13,254.0,False,D_gt250,True,3.0,True,3.0,True,5.0,0.18070833598270486,0.019434531979138026
2025-09-09,STX,19,320.0,False,D_gt250,False,,False,,False,,-0.07338467240456292,
2025-09-10,APP,17,486.0,False,D_gt250,False,,False,,False,,-0.07771398441619304,
2025-09-10,CIEN,11,68.0,False,A_51-100,True,1.0,True,5.0,False,,0.16395713348399799,0.1249207355738744
2025-09-10,GOOGL,9,422.0,False,D_gt250,False,,False,,False,,-0.027974250973535675,
2025-09-10,SATS,6,492.0,False,D_gt250,True,1.0,True,10.0,False,,0.07062622858747547,0.05215951428177168
2025-09-11,CIEN,10,68.0,False,A_51-100,True,1.0,True,5.0,True,10.0,0.19275351753298842,0.15275135630240255
2025-09-11,CNC,8,136.0,False,B_101-150,True,1.0,True,1.0,True,5.0,0.15511450381679381,0.09177489177489173
2025-09-11,SATS,5,492.0,False,D_gt250,True,1.0,True,10.0,False,,0.07413647851727045,0.055609217607285766
2025-09-12,LITE,8,483.0,False,D_gt250,False,,False,,False,,-0.02055646481178386,
2025-09-15,CIEN,8,68.0,False,A_51-100,True,1.0,True,5.0,True,10.0,0.20128307939053736,0.16099485661946034
2025-09-15,TSLA,11,390.0,False,D_gt250,False,,False,,False,,-0.01983270372369139,
2025-09-16,CIEN,7,68.0,False,A_51-100,True,1.0,True,5.0,True,10.0,0.20157468834293213,0.16127668569012887
2025-09-16,LITE,6,483.0,False,D_gt250,False,,False,,False,,0.026382978723404227,
2025-09-16,LRCX,15,91.0,False,A_51-100,True,1.0,False,,False,,-0.0145350908443177,-0.029675880454609116
2025-09-16,MU,8,254.0,False,D_gt250,True,3.0,True,3.0,True,5.0,0.18941946970178658,0.026955805654680143
2025-09-16,STX,14,489.0,False,D_gt250,False,,False,,False,,-0.12848494831775326,
2025-09-16,TSLA,10,390.0,False,D_gt250,False,,False,,False,,-0.03480841878035623,
2025-09-16,WDC,19,456.0,False,D_gt250,False,,False,,False,,-0.04820797576981328,
2025-09-17,CIEN,6,68.0,False,A_51-100,True,1.0,True,5.0,True,10.0,0.2299336589633303,0.1886845628126541
2025-09-17,LITE,5,483.0,False,D_gt250,False,,False,,False,,0.025008183306055587,
2025-09-17,LRCX,14,140.0,False,B_101-150,True,1.0,False,,False,,0.03156394727467049,0.015714887049249393
2025-09-17,MU,7,254.0,False,D_gt250,True,3.0,True,3.0,True,5.0,0.22044890951866214,0.05374691188580827
2025-09-17,STX,13,497.0,False,D_gt250,False,,False,,False,,-0.09656961660420882,
2025-09-18,AMAT,13,95.0,False,A_51-100,True,2.0,False,,False,,0.07638494989601052,0.033681343622333104
2025-09-18,APP,11,497.0,False,D_gt250,False,,False,,False,,-0.11289472142480528,
2025-09-18,CRWD,10,385.0,False,D_gt250,False,,False,,False,,-0.029327697262479857,
2025-09-18,INTC,16,207.0,False,C_151-250,True,1.0,False,,False,,0.012922738520759092,-0.010209564750134237
2025-09-18,LITE,4,483.0,False,D_gt250,False,,False,,False,,0.06860883797054007,
2025-09-18,LRCX,13,287.0,False,D_gt250,True,1.0,False,,False,,0.014392589953687196,-0.0011926476778447714
2025-09-18,MU,6,254.0,False,D_gt250,True,3.0,True,3.0,True,5.0,0.28778533731798817,0.11188580839967055
2025-09-18,TSLA,8,438.0,False,D_gt250,False,,False,,False,,-0.03591023565389462,
2025-09-19,APP,10,497.0,False,D_gt250,False,,False,,False,,-0.12222450055656464,
2025-09-19,CRWD,9,385.0,False,D_gt250,False,,False,,False,,-0.024456521739130488,
2025-09-19,HOOD,1,494.0,False,D_gt250,True,2.0,True,2.0,True,5.0,0.04019537192729605,0.02452681388012623
2025-09-19,INTC,15,207.0,False,C_151-250,True,1.0,False,,False,,0.017596920538905714,-0.005642127888232151
2025-09-19,LRCX,12,299.0,False,D_gt250,True,1.0,False,,False,,0.008265051656572764,-0.007226041812824491
2025-09-19,MU,5,254.0,False,D_gt250,True,3.0,True,3.0,True,5.0,0.2868315635531251,0.11106231128191046
2025-09-19,TSLA,7,438.0,False,D_gt250,False,,False,,False,,-0.012164957726209846,
2025-09-22,AMAT,11,117.0,False,B_101-150,True,2.0,False,,False,,0.07832293439213456,0.03554244212437574
2025-09-22,KLAC,9,431.0,False,D_gt250,False,,False,,False,,0.04659797557986489,
2025-09-22,LRCX,11,367.0,False,D_gt250,True,1.0,False,,False,,0.02636266476665483,0.010593517609092329
2025-09-22,MU,4,254.0,False,D_gt250,True,3.0,True,3.0,True,5.0,0.31474534240478147,0.13516332692835586
2025-09-22,STX,10,497.0,False,D_gt250,False,,False,,False,,-0.1170777910472347,
